fault_text1_clean,fault_text2_clean,semantic_similarity,data_source
PLC程序报错 梯形图逻辑错误导致误动作,PLC通讯故障 与变频器的Modbus连接中断,0.91,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵轴承发热 温度达75,0.58,original
变频器过流跳闸 输出电流超额定30,变频器频率漂移 设定50Hz实际输出45Hz,0.49,original
传感器响应延迟 信号滞后2秒,轴承润滑脂干涸 出现干摩擦异响,0.02,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.91,original
继电器线圈烧毁 电阻值无穷大,继电器误动作 无输入信号时触点自行闭合,0.42,original
继电器误动作 无输入信号时触点自行闭合,继电器吸合不良 线圈电压正常但触点未闭合,0.93,original
变频器参数紊乱 加速时间被异常修改,变频器参数紊乱 加速时间被异常修改,0.83,generated
离心泵空转异响 进口阀门未打开导致气蚀,轻微离心泵空转异响 进口阀门未打开导致气蚀,0.67,generated
变频器散热风扇故障 散热片温度达75,变频器参数紊乱 加速时间被异常修改,0.82,original
轴承磨损异响 运转时出现周期性异音,轴承间隙过大 径向游隙超0 15mm,0.22,generated
离心泵空转异响 进口阀门未打开导致气蚀,变频器参数紊乱 加速时间被异常修改,0.84,generated
液压缸缓冲装置失效 行程末端冲击过大,电机连续运行8小时后出现异响 振动值超额定20,0.22,original
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.48,original
离心泵流量不足 出口管路堵塞,离心泵轴承发热 温度达75,0.96,original
电机过载停机 故障代码E012 需重启复位,电机轴承润滑不足导致转速异常 输出转速波动 5,0.62,original
继电器接触不良 信号传输时断时续,继电器误动作 无输入信号时触点自行闭合,0.65,original
PLC信号丢失 传感器反馈数据无更新,电机负载达额定120 时出现过热 绕组温度升至105,0.11,generated
液压缸动作卡顿 换向时出现滞涩现象,液压缸压力不足 工作压力仅达额定60,0.95,original
PLC输入输出点I0 2损坏 无信号输入,PLC断电记忆丢失 参数恢复至出厂默认值,0.52,original
PLC输入输出点I0 2损坏 无信号输入,PLC程序报错 梯形图逻辑错误导致误动作,0.92,original
传感器量程超限 显示值固定为最大值,电压波动时传感器量程超限 显示值固定为最大值,0.78,generated
继电器吸合不良 线圈电压正常但触点未闭合,继电器误动作 无输入信号时触点自行闭合,0.84,original
轴承间隙过大 径向游隙超0 15mm,电机负载达额定120 时出现过热 绕组温度升至105,0.2,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸活塞杆变形 伸出时出现偏斜,0.61,original
变频器散热风扇故障 散热片温度达75,变频器过流跳闸 输出电流超额定30,0.53,original
传感器量程超限 显示值固定为最大值,传感器数值漂移 测量值比实际值高10,0.4,original
传感器无输出信号 接线端子接触不良,传感器抗干扰差 受电磁干扰出现跳变,0.86,original
液压缸缓冲装置失效 行程末端冲击过大,传感器响应延迟 信号滞后2秒,0.29,original
传感器响应延迟 信号滞后2秒,电机负载达额定120 时出现过热 绕组温度升至105,0.3,original
电机连续运行8小时后出现异响 振动值超额定20,电机过载停机 故障代码E012 需重启复位,0.61,original
轴承间隙过大 径向游隙超0 15mm,轴承润滑脂干涸 出现干摩擦异响,0.99,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.53,original
离心泵密封泄漏 机械密封端面磨损,离心泵叶轮磨损 流量下降至额定70,0.87,original
轴承间隙过大 径向游隙超0 15mm,电压波动时轴承间隙过大 径向游隙超0 15mm,0.88,generated
继电器吸合不良 线圈电压正常但触点未闭合,严重继电器吸合不良 线圈电压正常但触点未闭合,0.93,generated
传感器无输出信号 接线端子接触不良,传感器无输出信号 接线端子接触不良,0.65,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.64,original
PLC信号丢失 传感器反馈数据无更新,PLC信号丢失 传感器反馈数据无更新,0.64,original
轴承温升过高 连续运行2小时后温度达80,轴承温升过高 连续运行2小时后温度达80,0.41,original
电机负载达额定120 时出现过热 绕组温度升至105,电机轴承润滑不足导致转速异常 输出转速波动 5,0.58,original
液压缸动作卡顿 换向时出现滞涩现象,离心泵轴承发热 温度达75,0.05,original
轴承间隙过大 径向游隙超0 15mm,频繁轴承间隙过大 径向游隙超0 15mm,0.82,generated
电机连续运行8小时后出现异响 振动值超额定20,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.52,original
PLC断电记忆丢失 参数恢复至出厂默认值,PLC程序报错 梯形图逻辑错误导致误动作,0.62,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承磨损异响 运转时出现周期性异音,0.82,original
变频器散热风扇故障 散热片温度达75,变频器参数紊乱 加速时间被异常修改,0.87,original
继电器触点烧蚀 接触电阻增大至5Ω,轻微继电器触点烧蚀 接触电阻增大至5Ω,0.75,generated
离心泵流量不足 出口管路堵塞,变频器散热风扇故障 散热片温度达75,0.16,generated
PLC断电记忆丢失 参数恢复至出厂默认值,PLC程序报错 梯形图逻辑错误导致误动作,0.36,generated
变频器散热风扇故障 散热片温度达75,变频器过流跳闸 输出电流超额定30,0.95,original
继电器误动作 无输入信号时触点自行闭合,电压波动时继电器误动作 无输入信号时触点自行闭合,0.65,generated
离心泵流量不足 出口管路堵塞,离心泵空转异响 进口阀门未打开导致气蚀,0.63,original
继电器接触不良 信号传输时断时续,继电器线圈烧毁 电阻值无穷大,1.0,original
变频器参数紊乱 加速时间被异常修改,液压缸压力不足 工作压力仅达额定60,0.09,generated
液压缸活塞杆变形 伸出时出现偏斜,持续性液压缸活塞杆变形 伸出时出现偏斜,0.65,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸动作卡顿 换向时出现滞涩现象,0.52,original
传感器数值漂移 测量值比实际值高10,传感器量程超限 显示值固定为最大值,0.43,original
继电器接触不良 信号传输时断时续,继电器触点烧蚀 接触电阻增大至5Ω,0.87,original
轴承磨损异响 运转时出现周期性异音,传感器无输出信号 接线端子接触不良,0.81,generated
液压缸缓冲装置失效 行程末端冲击过大,液压缸动作卡顿 换向时出现滞涩现象,0.58,original
轴承温升过高 连续运行2小时后温度达80,轴承滚珠破损 振动频谱出现冲击峰值,0.5,original
轴承磨损异响 运转时出现周期性异音,轴承润滑脂干涸 出现干摩擦异响,0.42,original
继电器线圈烧毁 电阻值无穷大,电机连续运行8小时后出现异响 振动值超额定20,0.08,original
传感器抗干扰差 受电磁干扰出现跳变,传感器抗干扰差 受电磁干扰出现跳变,0.63,original
电机负载达额定120 时出现过热 绕组温度升至105,传感器量程超限 显示值固定为最大值,0.11,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸活塞杆变形 伸出时出现偏斜,0.84,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机连续运行8小时后出现异响 振动值超额定20,0.43,original
电机负载达额定120 时出现过热 绕组温度升至105,PLC程序报错 梯形图逻辑错误导致误动作,0.25,original
继电器接触不良 信号传输时断时续,继电器接触不良 信号传输时断时续,0.98,generated
传感器无输出信号 接线端子接触不良,传感器量程超限 显示值固定为最大值,0.95,original
传感器量程超限 显示值固定为最大值,电机连续运行8小时后出现异响 振动值超额定20,0.08,original
变频器过压报警 直流母线电压达800V,变频器过流跳闸 输出电流超额定30,0.56,original
变频器散热风扇故障 散热片温度达75,轴承间隙过大 径向游隙超0 15mm,0.05,original
离心泵密封泄漏 机械密封端面磨损,离心泵流量不足 出口管路堵塞,0.44,original
轴承温升过高 连续运行2小时后温度达80,轴承温升过高 偶尔连续运行2小时后温度达80,0.66,generated
变频器频率漂移 设定50Hz实际输出45Hz,间歇性变频器频率漂移 设定50Hz实际输出45Hz,0.76,generated
电机过载停机 故障代码E012 需重启复位,电机连续运行8小时后出现异响 振动值超额定20,0.9,original
变频器参数紊乱 加速时间被异常修改,变频器散热风扇故障 散热片温度达75,0.52,original
电机连续运行8小时后出现异响 振动值超额定20,电机轴承润滑不足导致转速异常 输出转速波动 5,0.87,original
轴承间隙过大 径向游隙超0 15mm,轴承润滑脂干涸 出现干摩擦异响,0.43,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸活塞杆变形 伸出时出现偏斜,0.62,original
电机轴承润滑不足导致转速异常 输出转速波动 5,继电器吸合不良 线圈电压正常但触点未闭合,0.29,original
继电器误动作 无输入信号时触点自行闭合,继电器接触不良 信号传输时断时续,0.93,original
电机负载达额定120 时出现过热 绕组温度升至105,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.54,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器误动作 无输入信号时触点自行闭合,0.53,original
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.44,original
轴承温升过高 连续运行2小时后温度达80,轴承间隙过大 径向游隙超0 15mm,0.55,original
变频器过压报警 直流母线电压达800V,变频器频率漂移 设定50Hz实际输出45Hz,0.33,generated
轴承间隙过大 径向游隙超0 15mm,轴承滚珠破损 振动频谱出现冲击峰值,0.98,original
轴承温升过高 连续运行2小时后温度达80,传感器量程超限 显示值固定为最大值,0.07,original
继电器误动作 无输入信号时触点自行闭合,变频器过流跳闸 输出电流超额定30,0.13,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,轴承滚珠破损 振动频谱出现冲击峰值,0.06,original
PLC输入输出点I0 2损坏 无信号输入,PLC断电记忆丢失 参数恢复至出厂默认值,0.6,original
电机过载停机 故障代码E012 需重启复位,电机负载达额定120 时出现过热 绕组温度升至105,0.68,original
轴承润滑脂干涸 出现干摩擦异响,轴承磨损异响 运转时出现周期性异音,0.96,original
轴承润滑脂干涸 出现干摩擦异响,轴承滚珠破损 振动频谱出现冲击峰值,0.85,original
PLC通讯故障 与变频器的Modbus连接中断,离心泵轴承发热 温度达75,0.83,generated
PLC断电记忆丢失 参数恢复至出厂默认值,PLC信号丢失 传感器反馈数据无更新,0.49,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵空转异响 进口阀门未打开导致气蚀,0.85,generated
变频器散热风扇故障 散热片温度达75,变频器频率漂移 设定50Hz实际输出45Hz,0.89,original
变频器参数紊乱 加速时间被异常修改,变频器参数紊乱 加速时间被异常修改,0.53,original
电机过载停机 故障代码E012 需重启复位,继电器接触不良 信号传输时断时续,0.17,original
电机过载停机 故障代码E012 需重启复位,偶尔电机过载停机 故障代码E012 需重启复位,0.95,generated
轴承温升过高 连续运行2小时后温度达80,轴承温升过高 连续运行2小时后温度达80,0.71,generated
PLC输入输出点I0 2损坏 无信号输入,电机负载达额定120 时出现过热 绕组温度升至105,0.46,generated
轴承滚珠破损 振动频谱出现冲击峰值,轴承间隙过大 径向游隙超0 15mm,0.41,original
PLC通讯故障 与变频器的Modbus连接中断,电机过载停机 故障代码E012 需重启复位,0.09,original
继电器吸合不良 线圈电压正常但触点未闭合,变频器过压报警 直流母线电压达800V,0.28,original
电机连续运行8小时后出现异响 振动值超额定20,电机过载停机 故障代码E012 需重启复位,0.41,original
轴承磨损异响 运转时出现周期性异音,PLC程序报错 梯形图逻辑错误导致误动作,0.18,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机过载停机 故障代码E012 需重启复位,0.94,original
变频器频率漂移 设定50Hz实际输出45Hz,电机过载停机 故障代码E012 需重启复位,0.25,original
